id,caption_type,caption_character_length,caption,word_count,hashtag_count,duration_sec,post_date,post_time,post_url,media_type,views,reach,likes,shares,comments,saves,follows,engagment_raw,engagement_rate,engagement_per_reach,save_rate,share_rate,readability_flesch,readability_fk_grade,positive,negative,sentiment_score,cta_present,cta_count,day_of_week
3,Athlete Content,238,"IceBike* South in London was just as good as IceBike* North in Manchester 🤩 Massive props to the whole @madison.cycles crew for putting on two incredible trade shows and for being fantastic hosts 🙌 
 
 #odigrips #grips #odi #icebike2026",40,4,18,2026-02-13,11:28,https://www.instagram.com/reel/DUta7P7gNIg/,reel,1311,1066,34,0,1,0,0,35,0.0328,0.0328,0.0000,0.0000,26.25,19.28666667,3,0,3,0,0,Friday
4,Athlete Content,194,"@jono_jones1 stopped by the ODI booth at @icebikeshow in London 🇬🇧 and had this to say about the Vanquish lock-on grips made with D3O GRIP™️material 🤩
 
 #odigrips #grips #odi #d3o #ODIFamily",32,5,8,2026-02-13,9:15,https://www.instagram.com/reel/DUtLYNpiIqJ/,reel,12050,7661,377,13,6,6,6,402,0.0525,0.0525,0.0008,0.0017,35.47205882,16.75823529,0,0,0,0,0,Friday
2,Athlete Content,270,"Excited to welcome @odigripsau on board for 2026 with CDR.
 •
 @yamahamotoraus
 @monsterenergy
 @foxracingaustralia
 @yamalube_aus 
 @comiskey_mining_services 
 @kincrome 
 @odigrips 
 @wearelusty 
 •
 #Yamaha #MonsterEnergyau #FoxRacing #Yamalube #ComiskeyMiningService",30,5,0,2026-02-13,13:55,https://www.instagram.com/p/DUtsRLbE5QR/,carousel,12414,5377,388,13,1,0,0,402,0.0748,0.0748,0.0000,0.0024,-107.0926087,33.91043478,2,0,2,0,0,Friday
6,Event Content,321,"@icebikeshow North in Manchester was epic! Great to see so many bike shops, riders and media people over the two days. Thanks to our amazing UK Distributor @madison.cycles for hosting the event in the National Cycling Centre velodrome 🤩 Now heading down south for the London version! 
 
 #icebike2026 #bikeshow #odigrips",52,3,43,2026-02-10,8:17,https://www.instagram.com/reel/DUlXHkKCFtl/,reel,1815,1539,41,3,2,2,0,48,0.0312,0.0312,0.0013,0.0019,39.62316176,10.90014706,2,0,2,0,0,Tuesday
5,Event Content,247,"Hardline qualy run from the weekend. Bummed we didn’t get to send another one on race day after the rain but what a week. Ended up p5 with this run. So fun, thanks @redbull for having me out and my team @frameworksracing for the killer machine. ⚔️",47,0,0,2026-02-10,16:16,https://www.instagram.com/reel/DUmCWq3EglZ/,reel,101936,66217,7253,498,102,0,0,7853,0.1186,0.1186,0.0000,0.0075,82.97554348,4.542826087,1,1,0,0,0,Tuesday
7,Event Content,146,"This section of track is gooood. 😮‍💨 Practice is going well here at @redbull #Hardline. More of that today. 🔥
 
 🎥 @thebigbad_wolfe @jackmoir_",24,1,15,2026-02-05,13:02,https://www.instagram.com/reel/DUY-pfQEi1b/,reel,121331,72874,7403,519,64,0,0,7986,0.1096,0.1096,0.0000,0.0071,70.3142029,5.356521739,2,0,2,0,0,Thursday
9,Product Marketing,388,"@motocrossactionmag take @dirtbiketv1 Jay Clark's KTM350SXF for a spin which runs ODI Podium Flight MX handlebars and ODI Emig Pro lock-on grips. 
 
 Hear from MXA’s Women’s Pro tester, Alison Bushnell, about why she picks the 350 for her personal bike, and watch @joshmosiman take the bike for a few laps as well.
 
 Full article: Link in Bio
 
 #odigrips #mx #motocross #grips #mxa #ktm",67,6,0,2026-02-04,9:54,https://www.instagram.com/p/DUWFjl3kqZS/,carousel,3922,1556,104,0,0,2,0,106,0.0681,0.0681,0.0013,0.0000,58.28166667,10.43,1,0,1,1,2,Wednesday
8,Event Content,977,"We are proud to support the @vanvenrooyktmracing team for 2026 with handlebars and grips. The team has three riders competing in three different @mxgp categories:
 
 @mattguada101 #101 in MXGP
 @noelzanocz #716 in MX2
 @katona.aron39 #39 in EMX250
 
 Italian talent Mattia Guadagnini joins the team, bringing plenty of potential as he looks to make his mark at the top level.
  
 In the MX2 World Championship, Hungarian rider Noel Zanocz will step up from the EMX250 series. Zanocz will use his rookie MX2 season to gain experience and learn as much as possible as he adapts to the World Championship level.
  
 Completing the Van VVenrooy KTM line-up is another promising Hungarian, Áron Katona, who will move up to contest the EMX250 series in 2026. Katonais widely regarded as a talent to watch for the future, and the team are confident in his potential.
 
 HIT Link in Bio to see the full range of ODI Motocross products!
 
 #odigrips #odi #mx #mxgp #motocross #ODIFamily",166,9,0,2026-02-04,15:42,https://www.instagram.com/p/DUWtVtkEm8C/,carousel,5731,2285,145,0,0,4,1,149,0.0652,0.0652,0.0018,0.0000,51.54791667,11.10009259,8,0,8,1,3,Wednesday
10,Event Content,305,"@colbyraha with making history again with a 275 feet jump over a huge wave pool into a world record quarter pipe 90+ feet from the ground! 🤯
 
 It’s a good job that he trusts ODI CFT Podium handlebars and ODI grips for strength, shock absorption and control 😎
 
 #odigrips #odi #grips #worldrecord #moto",55,5,124,2026-02-02,8:25,https://www.instagram.com/reel/DUQxzGpCE9b/,reel,2708,2155,97,14,3,2,0,116,0.0538,0.0538,0.0009,0.0065,54.09666667,12.42148148,1,1,0,0,0,Monday
11,Athlete Content,212,"Hit up OG ODI Grips rider @bigzcasa if you want to be coached to improve your riding and increase your chances of picking up sponsors😎 richhouseman.com 
 
 📸 @krismag117 
 
 #odigrips #mtb #odi #grips #coaching",37,5,24,2026-01-30,10:25,https://www.instagram.com/reel/DUJQnEogMVt/,reel,1572,1114,43,2,0,1,0,46,0.0413,0.0413,0.0009,0.0018,40.44852941,16.06411765,1,0,1,0,0,Friday
12,Athlete Content,150,"@vinny_t_ and friends hit up Verbier for some snow biking shenanigans 😂 Check out YT for full edit 🎬
 
 📸 @crunch724 
 
 #odigrips #grips #odi #mtb",28,4,60,2026-01-28,5:38,https://www.instagram.com/reel/DUDmk8YiO3K/,reel,4511,3090,111,3,1,0,0,115,0.0372,0.0372,0.0000,0.0010,63.02,10.68,0,0,0,1,2,Wednesday
13,Event Content,1361,"EMIG PRO ODI V2 LOCK-ON GRIPS:
 
 The signature grip of 5-Time AMA National and Supercross Champion, Jeff Emig. Designed by Jeff and developed and manufactured in-house in USA at ODI Grips. The choice of pro motocross riders who want that soft compound for improved comfort and less hand fatigue. 
 
 EMIG PRO V2 LOCK-ON GRIP FEATURES:
 
 The Emig Pro V2 Signature Grip is developed with our Pro Soft-Compound
 
 Slim diameter profile with diamond knurled pattern to improve traction and vibration damping (Ends: 29.5mm Diameter. Center: 31mm Diameter)
 
 Ergonomic design conforms to riders hand without feeling bulky
 
 Provides extra padding for big impacts and hard hits
 
 PRO COMPOUND - Soft Pillow-Top knurls for extra-comfort and control
 
 ALUMINUM REINFORCED ENDS - Provide extra durability against grip blowout
 
 Designed to fit 7/8” Size Handlebar Controls
 
 110mm Grip Length / 125mm overall length with Clamp
 
 ODI V2 LOCK-ON GRIP FEATURES:
 
 100% Slip-Free Performance Guaranteed
 
 Lock-On Grip provides simple installation and removal
 
 3mm Allen ensures solid twist-free mounting without waiting for glue to dry
 
 No safety wire required means longer grip life, even in the event of a crash
 
 Available in 11 amazing colorways
 
 Throttle Tube Included with Snap-On Throttle Cams to match most modern MX bikes
 
 @odigrips 
 @creedcorey",223,0,0,2026-01-27,19:20,https://www.instagram.com/p/DUCf9cyFC4j/,carousel,15769,8258,99,47,8,0,0,154,0.0186,0.0186,0.0000,0.0057,24.97909859,20.3582723,16,8,8,0,0,Tuesday
14,Athlete Content,180,"Leaving this here to close out the night. Thank you to everyone who brought their energy for ten years of remembering Kelly ❤️
 
 @odigrips 
 @mcgazzafest 
 @queenstownbikefestival",29,0,0,2026-01-25,0:40,https://www.instagram.com/p/DT7WLahEVzP/,carousel,23861,9842,1279,40,4,0,0,1323,0.1344,0.1344,0.0000,0.0041,47.21692308,9.903076923,1,0,1,0,0,Sunday
